,视频名字,UP主,视频链接,发布时间,关注数,硬币数,播放量,弹幕数,收藏数,点赞数,评论数,分享数
0,皇 金 矿 工,杜海皇,https://www.bilibili.com/video/BV1Cv4y1z7Xh,2022-12-26 18:00:00,3682955,84026,3576201,18500,49310,329133,4572,6038
1,灯火钱塘三五夜。明月如霜，照见人如画。酒入愁肠，化作相思泪。复原古代羊角灯,李意纯,https://www.bilibili.com/video/BV16R4y1S79o,2022-12-25 20:50:34,253590,158141,2417043,3980,37381,381334,2390,2692
2,《 天 价 水 果 》,记录生活的蛋黄派,https://www.bilibili.com/video/BV1QA411D7dn,2022-12-28 17:00:00,7772897,124433,2630066,10644,18074,314821,3330,7070
3,它没有掌握流量密码， 却成为年末最大的黑马！,三代鹿人,https://www.bilibili.com/video/BV1c84y1x7Ym,2022-12-27 11:20:01,6150864,78071,3902960,8467,30828,239876,7940,9377
4,再见少年拉满弓，不惧岁月不惧风,朱铁雄,https://www.bilibili.com/video/BV1YK411B7Y2,2022-12-26 21:50:43,496871,75373,2370419,1179,43799,540500,1965,5968
5,羊村！但是是花絮。,小潮team,https://www.bilibili.com/video/BV1ie4y1j7vv,2022-12-27 19:23:52,1123046,46435,2316600,7355,33521,234539,2971,5962
6,[威神V/WayV]《Phantom》MV,WayV_official,https://www.bilibili.com/video/BV1hV4y1F74q,2022-12-28 17:00:00,352363,71339,515245,26554,26824,68345,22572,39466
7,为了能轻松洗澡，我将浴室改造成洗车间这件事,小狮日记,https://www.bilibili.com/video/BV1YG4y177Mq,2022-12-23 23:59:27,280992,68289,8807666,8575,91102,640936,5507,64641
8,他真的在用行动，时时刻刻提醒我要多读书！,荒草音乐,https://www.bilibili.com/video/BV15R4y1D7rQ,2022-12-26 12:32:58,291956,24008,2100944,966,57519,145166,1887,7515
9,看着看着就哭了！ 年底必看MV《身边》！2022谁陪你走过？,中国青年报,https://www.bilibili.com/video/BV1QP4y1i7jy,2022-12-26 11:00:00,709652,28159,2823674,2606,44632,246749,1575,18067
10,在卡塔尔土豪家干饭，什么体验？卡塔尔普通人到底有多壕？,Meetfood觅食,https://www.bilibili.com/video/BV13G4y1E7AL,2022-12-27 17:00:00,2323711,71053,1563107,4844,13912,161123,1773,4918
